FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9983728804109968
0.0,0.18181818181818182,0.9970206793432804
0.0,0.2727272727272727,0.9963297830795578
0.0,0.36363636363636365,0.995592392510747
0.0,0.45454545454545453,0.9924443617809117
0.0,0.5454545454545454,0.9791604987945259
0.01,0.5454545454545454,0.893049738840657
0.02,0.5454545454545454,0.7969461628806
0.02,0.6363636363636364,0.5999114754364998
0.02,0.7272727272727273,0.2845263341609929
0.02,0.8181818181818182,0.1763204831696207
0.03,0.8181818181818182,0.1065217861150766
0.04,0.8181818181818182,0.0486919491076176
0.05,0.8181818181818182,0.032351138384044756
0.06,0.8181818181818182,0.029830821976128206
0.07,0.8181818181818182,0.02215569315588316
0.08,0.8181818181818182,0.020299750199083963
0.09,0.8181818181818182,0.019997720679454847
0.1,0.8181818181818182,0.01850642184472793
0.1,0.9090909090909091,0.013754161711653294
0.11,0.9090909090909091,0.011073278886613832
0.12,0.9090909090909091,0.010627101236019811
0.12,1.0,0.005813770196738908
0.13,1.0,0.0036079630576471783
0.14,1.0,0.0030568739306959104
0.15,1.0,0.0028682574027883673
0.16,1.0,0.002344116217467945
0.17,1.0,0.0007076027794420889
0.18,1.0,0.0005386431188748137
0.19,1.0,0.0004810912896787531
0.2,1.0,0.00042581830471456495
0.21,1.0,0.00028518713239708256
0.22,1.0,0.00010778745215356771
0.23,1.0,8.744665452288227e-05
0.24,1.0,7.84037751751783e-05
0.25,1.0,3.745037577710776e-05
0.26,1.0,2.4137694465434574e-05
0.27,1.0,1.0699045589892434e-05
0.28,1.0,8.134113196618405e-06
0.29,1.0,5.588493503234867e-06
0.3,1.0,3.7720512464460092e-06
0.31,1.0,3.4306888187946087e-06
0.32,1.0,3.2442796978740088e-06
0.33,1.0,2.666737536552886e-06
0.34,1.0,2.5816723107041973e-06
0.35,1.0,2.44722132898592e-06
0.36,1.0,1.9567431579498013e-06
0.37,1.0,1.1541549961547865e-06
0.38,1.0,7.905428512123618e-07
0.39,1.0,4.761362247260351e-07
0.4,1.0,3.6449792029507937e-07
0.41,1.0,3.6067242263937007e-07
0.42,1.0,3.336857714617553e-07
0.43,1.0,2.007197740318402e-07
0.44,1.0,1.8803218435254848e-07
0.45,1.0,1.82278572122902e-07
0.46,1.0,1.7930414435576066e-07
0.47,1.0,1.7134190110191978e-07
0.48,1.0,1.57671379037079e-07
0.49,1.0,1.4255814341871378e-07
0.5,1.0,1.3456097854535698e-07
0.51,1.0,1.05649520870256e-07
0.52,1.0,9.3143028766784e-08
0.53,1.0,7.432251067093507e-08
0.54,1.0,6.69035006660108e-08
0.55,1.0,6.197858563333438e-08
0.56,1.0,3.674142483023587e-08
0.57,1.0,3.5632554920792115e-08
0.58,1.0,2.6475843286276792e-08
0.59,1.0,2.4690042894789368e-08
0.6,1.0,1.806317600380256e-08
0.61,1.0,1.5009677817527653e-08
0.62,1.0,1.3292657385520414e-08
0.63,1.0,1.1139716171616496e-08
0.64,1.0,1.0373396123455016e-08
0.65,1.0,9.197456419610541e-09
0.66,1.0,8.539516126042434e-09
0.67,1.0,6.916408380775167e-09
0.68,1.0,6.095111690453716e-09
0.69,1.0,5.812318112485049e-09
0.7,1.0,5.0372394101081215e-09
0.71,1.0,4.071851061824932e-09
0.72,1.0,3.5033681020763092e-09
0.73,1.0,3.488449344938084e-09
0.74,1.0,3.2869019101216844e-09
0.75,1.0,3.0293855208318206e-09
0.76,1.0,2.5754579399853358e-09
0.77,1.0,2.297083507417165e-09
0.78,1.0,2.1508116577529576e-09
0.79,1.0,1.8186487406998553e-09
0.8,1.0,1.8066412119762491e-09
0.81,1.0,1.751089562617341e-09
0.82,1.0,1.190185507053294e-09
0.83,1.0,1.0397965475986676e-09
0.84,1.0,9.646333994441626e-10
0.85,1.0,7.04170152053156e-10
0.86,1.0,5.505557851766437e-10
0.87,1.0,3.9025242961165224e-10
0.88,1.0,3.7449274136946897e-10
0.89,1.0,2.7716220923459e-10
0.9,1.0,1.913830121321431e-10
0.91,1.0,1.3431350444388686e-10
0.92,1.0,9.720025538989746e-11
0.93,1.0,7.12121386456316e-11
0.94,1.0,6.463704397233171e-11
0.95,1.0,3.640755923286425e-11
0.96,1.0,2.722328468594738e-11
0.97,1.0,2.4613312887711507e-11
0.98,1.0,1.3905486617841476e-11
0.99,1.0,8.94275971063899e-12
1.0,1.0,7.366843735728683e-12
1.0,1.0,0.0
1.0,1.0,0.0
