FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9201287149114139
0.0,0.18181818181818182,0.9023024349413103
0.0,0.2727272727272727,0.8953545417540244
0.0,0.36363636363636365,0.8565177449892424
0.0,0.45454545454545453,0.8501346344440252
0.0,0.5454545454545454,0.8440163698555749
0.0,0.6363636363636364,0.8402480685656069
0.01,0.6363636363636364,0.722048313665894
0.01,0.7272727272727273,0.6959613622188778
0.01,0.8181818181818182,0.6056292234728939
0.02,0.8181818181818182,0.6033812740051864
0.02,0.9090909090909091,0.544948578511991
0.02,1.0,0.5361208006015994
0.03,1.0,0.3217958178978203
0.04,1.0,0.25776139172285095
0.05,1.0,0.24450085205782743
0.06,1.0,0.23421613947825348
0.07,1.0,0.22458491064101224
0.08,1.0,0.19394493216669212
0.09,1.0,0.16453035011630254
0.1,1.0,0.09487851485840072
0.11,1.0,0.08554333173192454
0.12,1.0,0.08231271605714813
0.13,1.0,0.06852921592557232
0.14,1.0,0.06786928216958041
0.15,1.0,0.033607629010879964
0.16,1.0,0.032008136923732264
0.17,1.0,0.03183291423767853
0.18,1.0,0.028307285626505953
0.19,1.0,0.026184960950594367
0.2,1.0,0.019713087404959778
0.21,1.0,0.01313244769578073
0.22,1.0,0.010433149414591657
0.23,1.0,0.010296209882783345
0.24,1.0,0.009499660091454112
0.25,1.0,0.007937108826219815
0.26,1.0,0.007534363745751836
0.27,1.0,0.006714968397398303
0.28,1.0,0.006524260349735807
0.29,1.0,0.006156246045495326
0.3,1.0,0.005730152708075382
0.31,1.0,0.005624913507745074
0.32,1.0,0.003776195083115061
0.33,1.0,0.0030200386781308757
0.34,1.0,0.0019091451148218529
0.35,1.0,0.0018299528145396158
0.36,1.0,0.001595364605875497
0.37,1.0,0.0012556786028893353
0.38,1.0,0.0011762399065843698
0.39,1.0,0.0009372801388846078
0.4,1.0,0.0008934731241752672
0.41,1.0,0.0008794711539884532
0.42,1.0,0.000742133346021968
0.43,1.0,0.0007129644248030907
0.44,1.0,0.0006174221778110088
0.45,1.0,0.0006131363088874906
0.46,1.0,0.0006097177639111091
0.47,1.0,0.0005962424261617944
0.48,1.0,0.0005884914531009547
0.49,1.0,0.0005202854377754434
0.5,1.0,0.00048102422462694083
0.51,1.0,0.00047730862983085936
0.52,1.0,0.0004690868485814458
0.53,1.0,0.00037198975859582497
0.54,1.0,0.00035514379762885417
0.55,1.0,0.0003528481520138028
0.56,1.0,0.0003189609717009576
0.57,1.0,0.00030714398692771025
0.58,1.0,0.00025529944514831557
0.59,1.0,0.00024029438559839588
0.6,1.0,0.00022523897822065644
0.61,1.0,0.00020024839586343246
0.62,1.0,0.00018917765429124684
0.63,1.0,0.00018625417557575785
0.64,1.0,0.00018581927691453272
0.65,1.0,0.0001728724734662524
0.66,1.0,0.0001509579905148547
0.67,1.0,0.00013619631940252913
0.68,1.0,0.0001337853138679974
0.69,1.0,0.00012997919071028457
0.7,1.0,0.00012915321093270123
0.71,1.0,0.00012650689330320053
0.72,1.0,0.00011666860297761066
0.73,1.0,0.00011089033072714393
0.74,1.0,0.00010935988572690563
0.75,1.0,0.00010594098342075398
0.76,1.0,0.00010404911959984295
0.77,1.0,0.00010388253068717378
0.78,1.0,0.00010063836003087699
0.79,1.0,9.642184023487567e-05
0.8,1.0,9.625436398983261e-05
0.81,1.0,9.38127894071134e-05
0.82,1.0,9.256588051984616e-05
0.83,1.0,9.120631329958603e-05
0.84,1.0,8.88854949875351e-05
0.85,1.0,8.698996753602302e-05
0.86,1.0,7.750169329565715e-05
0.87,1.0,7.467242879871475e-05
0.88,1.0,5.166291440743691e-05
0.89,1.0,5.014367710867587e-05
0.9,1.0,4.9885871299257543e-05
0.91,1.0,4.7041333172424185e-05
0.92,1.0,4.355745998621057e-05
0.93,1.0,4.1192859691940704e-05
0.94,1.0,3.773597054321545e-05
0.95,1.0,3.1279769706732016e-05
0.96,1.0,2.841527149256822e-05
0.97,1.0,1.769906293663943e-05
0.98,1.0,1.7415827744212106e-05
0.99,1.0,1.5092338773982593e-05
1.0,1.0,9.362446137263755e-06
1.0,1.0,0.0
1.0,1.0,0.0
