feature_names
Age
G
GS
MP
FG
FGA
FG%
FG%.1
3P
3PA
3P%
2P
2PA
2P%
eFG%
FT
FTA
FT%
ORB
DRB
TRB
AST
STL
BLK
TOV
PF
PTS
