FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.0008876038172584449
0.0,0.18181818181818182,0.000874586334491009
0.0,0.2727272727272727,0.0007518404032255503
0.0,0.36363636363636365,0.0006877654554373838
0.0,0.45454545454545453,0.0006765685330621674
0.0,0.5454545454545454,0.0005625970060733435
0.0,0.6363636363636364,0.0004900131269480338
0.01,0.6363636363636364,0.00048032574100632876
0.01,0.7272727272727273,0.0003605022818427464
0.02,0.7272727272727273,0.0003139739893657883
0.02,0.8181818181818182,0.00030416428264384723
0.03,0.8181818181818182,0.00024942138725689435
0.04,0.8181818181818182,0.00024256016689406623
0.04,0.9090909090909091,0.00021924850222549078
0.05,0.9090909090909091,0.00021796579134081978
0.06,0.9090909090909091,0.00019287325837918055
0.07,0.9090909090909091,0.0001914431934925043
0.08,0.9090909090909091,0.00018599030409815066
0.09,0.9090909090909091,0.00017048100602124085
0.1,0.9090909090909091,0.00015127006391966332
0.11,0.9090909090909091,0.00014208269655597406
0.11,1.0,0.00012774061464434526
0.12,1.0,0.00012751067795993272
0.13,1.0,0.00012190329409291785
0.14,1.0,9.726131187034234e-05
0.15,1.0,6.809787278232227e-05
0.16,1.0,6.757212701558201e-05
0.17,1.0,6.250625552426548e-05
0.18,1.0,5.188310355812112e-05
0.19,1.0,4.7009390685053167e-05
0.2,1.0,3.141095372542966e-05
0.21,1.0,2.9418175100450695e-05
0.22,1.0,1.6989139550814843e-05
0.23,1.0,1.535073318855163e-05
0.24,1.0,1.0666870683509082e-05
0.25,1.0,1.0424379416061448e-05
0.26,1.0,8.78095930097917e-06
0.27,1.0,8.093113102226085e-06
0.28,1.0,6.947749761912155e-06
0.29,1.0,4.713446630460085e-06
0.3,1.0,3.932341747126354e-06
0.31,1.0,3.6370835074215254e-06
0.32,1.0,3.3258648462493288e-06
0.33,1.0,3.260365273345288e-06
0.34,1.0,2.7617121164271143e-06
0.35,1.0,2.5747991930267817e-06
0.36,1.0,2.518897706224546e-06
0.37,1.0,2.2745567779999216e-06
0.38,1.0,2.045636606663253e-06
0.39,1.0,1.4251309507824718e-06
0.4,1.0,7.597604353235653e-07
0.41,1.0,5.651273723475057e-07
0.42,1.0,5.109646146982945e-07
0.43,1.0,5.015668788905592e-07
0.44,1.0,4.719112300639012e-07
0.45,1.0,4.0132292921420837e-07
0.46,1.0,3.2274533580518303e-07
0.47,1.0,2.556806544360408e-07
0.48,1.0,1.7193875301567497e-07
0.49,1.0,1.4884241143156494e-07
0.5,1.0,1.3692637369762244e-07
0.51,1.0,1.2392567548158038e-07
0.52,1.0,1.1272774634497922e-07
0.53,1.0,1.0079535689011984e-07
0.54,1.0,8.613642493828375e-08
0.55,1.0,5.4734317317777987e-08
0.56,1.0,5.2868832629897045e-08
0.57,1.0,4.4563235477984575e-08
0.58,1.0,4.4419760845108885e-08
0.59,1.0,3.9995627308240914e-08
0.6,1.0,3.880126361371192e-08
0.61,1.0,3.661841287429775e-08
0.62,1.0,3.539087545834829e-08
0.63,1.0,3.2318557771563987e-08
0.64,1.0,2.89346844483745e-08
0.65,1.0,2.8166148468656073e-08
0.66,1.0,2.7689764344685625e-08
0.67,1.0,2.4395853318921823e-08
0.68,1.0,1.7574508259828517e-08
0.69,1.0,1.6389307539672e-08
0.7,1.0,1.4426894783239994e-08
0.71,1.0,1.4270737823225318e-08
0.72,1.0,1.311903692455932e-08
0.73,1.0,1.2229440309296778e-08
0.74,1.0,1.1093680361222544e-08
0.75,1.0,1.0858530552417592e-08
0.76,1.0,1.0355712812787464e-08
0.77,1.0,9.459256150223021e-09
0.78,1.0,9.060673791733687e-09
0.79,1.0,8.774707778281819e-09
0.8,1.0,8.270533062307486e-09
0.81,1.0,7.665223878210084e-09
0.82,1.0,7.135271347900441e-09
0.83,1.0,6.6243497830382654e-09
0.84,1.0,6.139283678632917e-09
0.85,1.0,6.0365378234084806e-09
0.86,1.0,5.4668399509706035e-09
0.87,1.0,5.387216539096796e-09
0.88,1.0,4.98436548123816e-09
0.89,1.0,4.728989019322168e-09
0.9,1.0,4.727901320493031e-09
0.91,1.0,4.397641021181191e-09
0.92,1.0,3.83019546023499e-09
0.93,1.0,3.085562879203661e-09
0.94,1.0,2.708439566711863e-09
0.95,1.0,2.6980815647962676e-09
0.96,1.0,2.588951658122933e-09
0.97,1.0,1.8921026743394455e-09
0.98,1.0,1.8617652667851184e-09
0.99,1.0,1.615208030330763e-09
1.0,1.0,1.177127290491242e-09
1.0,1.0,0.0
1.0,1.0,0.0
