threshold,TP,FP,TN,FN,accuracy,precision,recall,f1_score,specificity,fpr
0.0,11,100,0,0,0.0990990990990991,0.0990990990990991,1.0,0.180327868852459,0.0,1.0
0.05,9,4,96,2,0.9459459459459459,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.96,0.04
0.1,9,2,98,2,0.963963963963964,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.98,0.02
0.15000000000000002,8,2,98,3,0.954954954954955,0.8,0.7272727272727273,0.761904761904762,0.98,0.02
0.2,8,2,98,3,0.954954954954955,0.8,0.7272727272727273,0.761904761904762,0.98,0.02
0.25,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.30000000000000004,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.35000000000000003,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.4,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.45,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.5,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.55,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.6000000000000001,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.65,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.7000000000000001,5,2,98,6,0.9279279279279279,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.98,0.02
0.75,5,2,98,6,0.9279279279279279,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.98,0.02
0.8,5,2,98,6,0.9279279279279279,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.98,0.02
0.8500000000000001,5,1,99,6,0.9369369369369369,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.99,0.01
0.9,5,1,99,6,0.9369369369369369,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.99,0.01
0.9500000000000001,5,1,99,6,0.9369369369369369,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.99,0.01
1.0,0,0,100,11,0.9009009009009009,0.0,0.0,0.0,1.0,0.0
