FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9983669250119231
0.0,0.18181818181818182,0.9964044763797465
0.0,0.2727272727272727,0.994227091435706
0.0,0.36363636363636365,0.9918820716105725
0.0,0.45454545454545453,0.9870421046036264
0.01,0.45454545454545453,0.9863014681594889
0.02,0.45454545454545453,0.8418635232833656
0.02,0.5454545454545454,0.6527866379960189
0.02,0.6363636363636364,0.24004815386522338
0.02,0.7272727272727273,0.22341576788489906
0.02,0.8181818181818182,0.10355839242745381
0.03,0.8181818181818182,0.0591720261282836
0.04,0.8181818181818182,0.05771258433815312
0.05,0.8181818181818182,0.03811462957856228
0.06,0.8181818181818182,0.0342228459909794
0.07,0.8181818181818182,0.023642561803204364
0.08,0.8181818181818182,0.022671287649787722
0.09,0.8181818181818182,0.01965900441690474
0.1,0.8181818181818182,0.018377130527551508
0.1,0.9090909090909091,0.008858061148173436
0.11,0.9090909090909091,0.008396884281236628
0.12,0.9090909090909091,0.0065648979468556625
0.13,0.9090909090909091,0.005220060944252477
0.14,0.9090909090909091,0.003662872617382967
0.15,0.9090909090909091,0.0016004296935621294
0.16,0.9090909090909091,0.001176781766724288
0.17,0.9090909090909091,0.001084461526115104
0.18,0.9090909090909091,0.0010183450682503719
0.19,0.9090909090909091,0.0007693375388572361
0.19,1.0,0.0005695728497926215
0.2,1.0,0.0004234933688859467
0.21,1.0,0.00023976519871674124
0.22,1.0,0.00016505147333628235
0.23,1.0,7.21630614674856e-05
0.24,1.0,5.336959457314449e-05
0.25,1.0,4.225663213327316e-05
0.26,1.0,3.5531908652166986e-05
0.27,1.0,2.366202304959777e-05
0.28,1.0,1.5932381278357976e-05
0.29,1.0,1.4274744804731788e-05
0.3,1.0,1.362064451592911e-05
0.31,1.0,5.213091587745288e-06
0.32,1.0,5.080185067620206e-06
0.33,1.0,4.5603370536081364e-06
0.34,1.0,4.300355514592052e-06
0.35,1.0,4.099542321772321e-06
0.36,1.0,3.0147190975843535e-06
0.37,1.0,2.9985946118586818e-06
0.38,1.0,1.2879032506751531e-06
0.39,1.0,1.056915589050854e-06
0.4,1.0,7.429035964597396e-07
0.41,1.0,5.538977338104041e-07
0.42,1.0,4.4825767760801656e-07
0.43,1.0,4.043678961953669e-07
0.44,1.0,2.25551886348627e-07
0.45,1.0,1.575863345793889e-07
0.46,1.0,5.760310674852365e-08
0.47,1.0,5.098688310647646e-08
0.48,1.0,4.846048089321676e-08
0.49,1.0,4.276968079821702e-08
0.5,1.0,3.498820990041946e-08
0.51,1.0,2.9274929810072625e-08
0.52,1.0,2.4182838244707243e-08
0.53,1.0,2.0730597489694932e-08
0.54,1.0,1.9822166284384176e-08
0.55,1.0,1.945165225264369e-08
0.56,1.0,1.8680310222590162e-08
0.57,1.0,1.728714109516888e-08
0.58,1.0,1.3552679124555967e-08
0.59,1.0,9.387386735550366e-09
0.6,1.0,6.438726608499186e-09
0.61,1.0,5.264107848696908e-09
0.62,1.0,4.548780664370921e-09
0.63,1.0,4.52731181611456e-09
0.64,1.0,4.254168471952888e-09
0.65,1.0,4.14940302989271e-09
0.66,1.0,3.69973617530955e-09
0.67,1.0,3.2779647653385036e-09
0.68,1.0,2.925183109064972e-09
0.69,1.0,2.6083167671238515e-09
0.7,1.0,2.2069253802637453e-09
0.71,1.0,1.6469874718920727e-09
0.72,1.0,1.5207819115793037e-09
0.73,1.0,1.2072184015148568e-09
0.74,1.0,1.1371770237587868e-09
0.75,1.0,1.1021421129181929e-09
0.76,1.0,8.58033125816093e-10
0.77,1.0,8.220405892334761e-10
0.78,1.0,6.254041620493435e-10
0.79,1.0,4.485684497394375e-10
0.8,1.0,4.3862474623344223e-10
0.81,1.0,3.9970676496439713e-10
0.82,1.0,3.2884709322981513e-10
0.83,1.0,3.141620928894244e-10
0.84,1.0,1.9668336346768835e-10
0.85,1.0,8.566513696772105e-11
0.86,1.0,4.656950883443344e-11
0.87,1.0,3.3067494887964206e-11
0.88,1.0,2.9249916868499744e-11
0.89,1.0,2.552821063642177e-11
0.9,1.0,1.341876832419423e-11
0.91,1.0,1.0603412592472807e-11
0.92,1.0,9.82727485687522e-12
0.93,1.0,7.784852212501778e-12
0.94,1.0,6.294883968613384e-12
0.95,1.0,2.978791032198695e-12
0.96,1.0,2.8622091932978657e-12
0.97,1.0,1.9100775508659927e-12
0.98,1.0,1.4983523380373767e-12
0.99,1.0,6.78400837888992e-13
1.0,1.0,1.5027679533768648e-13
1.0,1.0,0.0
1.0,1.0,0.0
