threshold,TP,FP,TN,FN,accuracy,precision,recall,f1_score,specificity,fpr
0.0,11,100,0,0,0.0990990990990991,0.0990990990990991,1.0,0.180327868852459,0.0,1.0
0.05,8,3,97,3,0.9459459459459459,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.97,0.03
0.1,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.15000000000000002,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.2,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.25,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.30000000000000004,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.35000000000000003,7,2,98,4,0.9459459459459459,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.98,0.02
0.4,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.45,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.5,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.55,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.6000000000000001,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.65,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.7000000000000001,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.75,6,2,98,5,0.9369369369369369,0.75,0.5454545454545454,0.631578947368421,0.98,0.02
0.8,6,1,99,5,0.9459459459459459,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.99,0.01
0.8500000000000001,6,0,100,5,0.954954954954955,1.0,0.5454545454545454,0.7058823529411764,1.0,0.0
0.9,6,0,100,5,0.954954954954955,1.0,0.5454545454545454,0.7058823529411764,1.0,0.0
0.9500000000000001,5,0,100,6,0.9459459459459459,1.0,0.45454545454545453,0.625,1.0,0.0
1.0,0,0,100,11,0.9009009009009009,0.0,0.0,0.0,1.0,0.0
