Feature,Importance
MP,0.03303303303303299
FT,0.03003003003002998
2P,0.012012012012012
3P%,0.009009009009008992
ORB,0.009009009009008992
3P,0.006006006006006019
Age,0.006006006006006019
TRB,0.006006006006006019
PTS,0.006006006006005982
GS,0.0
G,0.0
3PA,0.0
FG%.1,0.0
FGA,0.0
FG%,0.0
FG,0.0
2P%,0.0
eFG%,0.0
2PA,0.0
FT%,0.0
FTA,0.0
AST,0.0
DRB,0.0
STL,0.0
BLK,0.0
TOV,0.0
PF,0.0
