FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9983005101798378
0.0,0.18181818181818182,0.9968504541873557
0.0,0.2727272727272727,0.9880498376306003
0.0,0.36363636363636365,0.987408308863114
0.0,0.45454545454545453,0.9801419811099382
0.01,0.45454545454545453,0.9687682340454008
0.01,0.5454545454545454,0.8599582876406165
0.02,0.5454545454545454,0.7802549864234861
0.02,0.6363636363636364,0.45455026137403054
0.02,0.7272727272727273,0.1983131794021545
0.03,0.7272727272727273,0.1933154289967762
0.04,0.7272727272727273,0.15738472634010048
0.05,0.7272727272727273,0.15711762988359407
0.06,0.7272727272727273,0.08709637609544353
0.07,0.7272727272727273,0.07581130301604631
0.08,0.7272727272727273,0.0420849909008856
0.09,0.7272727272727273,0.02554393568768099
0.1,0.7272727272727273,0.024023543799425683
0.1,0.8181818181818182,0.009849024142906608
0.11,0.8181818181818182,0.008834203540927621
0.12,0.8181818181818182,0.003926066459318873
0.12,0.9090909090909091,0.003673440869351729
0.13,0.9090909090909091,0.003058049345555823
0.14,0.9090909090909091,0.002900986882996082
0.14,1.0,0.0026885856099937303
0.15,1.0,0.002112648612774445
0.16,1.0,0.00203706931538038
0.17,1.0,0.001537817911817669
0.18,1.0,0.000700391875680636
0.19,1.0,0.0005855060512945859
0.2,1.0,0.0002497224073163974
0.21,1.0,0.00022677080429970848
0.22,1.0,0.00019050137145168423
0.23,1.0,0.00015645726075493558
0.24,1.0,0.00011500052907568714
0.25,1.0,5.75531301562916e-05
0.26,1.0,3.098552474931234e-05
0.27,1.0,2.5475978225628728e-05
0.28,1.0,2.201660643101746e-05
0.29,1.0,2.167190856713529e-05
0.3,1.0,1.8129566278866425e-05
0.31,1.0,1.6150458260698305e-05
0.32,1.0,1.2714141782855107e-05
0.33,1.0,6.9858520060957444e-06
0.34,1.0,4.775081508058487e-06
0.35,1.0,3.7065280374912206e-06
0.36,1.0,2.784379658190693e-06
0.37,1.0,1.9164220800458537e-06
0.38,1.0,1.340709395037978e-06
0.39,1.0,1.0676625627459282e-06
0.4,1.0,6.166466726047446e-07
0.41,1.0,4.886219838346036e-07
0.42,1.0,4.7657350831451636e-07
0.43,1.0,4.4511121488522027e-07
0.44,1.0,3.784164309435513e-07
0.45,1.0,3.274464051834999e-07
0.46,1.0,3.2204747728017537e-07
0.47,1.0,2.80453548602234e-07
0.48,1.0,2.7265111119298693e-07
0.49,1.0,2.4099567766995583e-07
0.5,1.0,1.96892405936466e-07
0.51,1.0,1.3662634416003226e-07
0.52,1.0,1.252692913273164e-07
0.53,1.0,1.079629704217127e-07
0.54,1.0,9.060322800246357e-08
0.55,1.0,6.08165566849071e-08
0.56,1.0,5.376537722594867e-08
0.57,1.0,5.087835034284297e-08
0.58,1.0,4.928655758415705e-08
0.59,1.0,2.824479540484229e-08
0.6,1.0,2.44957613812312e-08
0.61,1.0,2.22812455703755e-08
0.62,1.0,1.6414585235524524e-08
0.63,1.0,1.4786629246980416e-08
0.64,1.0,1.1679947943230496e-08
0.65,1.0,7.466040704684597e-09
0.66,1.0,6.5446220063087745e-09
0.67,1.0,6.0256287764040415e-09
0.68,1.0,5.554169522363712e-09
0.69,1.0,5.352541549405273e-09
0.7,1.0,4.151581613768615e-09
0.71,1.0,4.060138523878833e-09
0.72,1.0,3.3767446700128085e-09
0.73,1.0,2.774163722040408e-09
0.74,1.0,2.7045742241157927e-09
0.75,1.0,2.0592877613162923e-09
0.76,1.0,1.5283796883162334e-09
0.77,1.0,1.4539280880300964e-09
0.78,1.0,1.170552728866359e-09
0.79,1.0,7.05767274068653e-10
0.8,1.0,6.624856814861144e-10
0.81,1.0,4.2302839137394844e-10
0.82,1.0,3.5039328726788235e-10
0.83,1.0,3.1227426760419217e-10
0.84,1.0,2.9779664785565184e-10
0.85,1.0,2.678117939638137e-10
0.86,1.0,2.515578628677115e-10
0.87,1.0,1.9915178794622853e-10
0.88,1.0,1.8963211649152553e-10
0.89,1.0,1.4867446587481208e-10
0.9,1.0,1.228434076914915e-10
0.91,1.0,1.0318871864749911e-10
0.92,1.0,3.198757873883689e-11
0.93,1.0,2.8699536319574404e-11
0.94,1.0,2.8385770027933036e-11
0.95,1.0,2.4596486251681484e-11
0.96,1.0,2.208083591280145e-11
0.97,1.0,1.5935939741674956e-11
0.98,1.0,5.204459728686264e-12
0.99,1.0,5.129511715733691e-12
1.0,1.0,7.956322313991657e-13
1.0,1.0,0.0
1.0,1.0,0.0
