age,g,gs,mp,fg,fga,fg_pct,fg_pct_1,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pos_C,pos_PF,pos_PF-SF,pos_PG,pos_SF,pos_SF-SG,pos_SG,pos_SG-PG,pos_nan,tm_ATL,tm_BOS,tm_BRK,tm_CHI,tm_CHO,tm_CLE,tm_DAL,tm_DEN,tm_DET,tm_GSW,tm_HOU,tm_IND,tm_LAC,tm_LAL,tm_MEM,tm_MIA,tm_MIL,tm_MIN,tm_NOP,tm_NYK,tm_OKC,tm_ORL,tm_PHI,tm_PHO,tm_POR,tm_SAC,tm_SAS,tm_TOR,tm_TOT,tm_UTA,tm_WAS,tm_nan,performance_Bad,performance_Good,performance_nan
22.0,42.0,3.0,24.7,4.1,9.4,0.435,435.0,1.1,3.2,0.333,3.0,6.2,0.488,0.492,2.5,2.8,0.89,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
25.0,48.0,48.0,35.8,6.1,13.4,0.453,453.0,1.8,5.1,0.356,4.3,8.3,0.514,0.522,2.4,2.9,0.825,1.4,3.9,5.4,2.0,1.7769999999999981,0.8,2.1,3.0,16.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
28.0,14.0,1.0,4.9,0.3,1.0,0.286,286.0,0.3,0.6,0.444,0.0,0.4,0.0,0.429,0.0,0.0,0.75,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
28.0,11.0,0.0,2.4,0.1,0.523,0.2,200.0,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,0.75,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28.0,3.0,1.0,14.3,1.0,3.0,0.333,333.0,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
22.0,58.0,33.0,26.3,3.3,7.4,0.439,439.0,0.9,3.1,0.294,2.4,4.4,0.539,0.499,1.7,2.2,0.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
24.0,53.0,53.0,30.3,8.2,13.8,0.591,591.0,0.1,0.4,0.304,8.0,13.4,0.6,0.595,2.2,3.0,0.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
23.0,25.0,0.0,5.8,0.9,1.1,0.75,852.0,0.0,0.0,0.3445,0.9,1.1,0.75,0.833,0.1,0.2,0.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
23.0,27.0,13.0,21.6,4.7,8.7,0.538,538.0,0.3,1.4,0.243,4.4,7.4,0.593,0.557,1.6,2.3,0.698,2.5,4.1,6.6,0.6,0.5,0.7,0.9,2.0,11.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20.0,19.0,0.0,8.8,1.9,4.2,0.45,450.0,1.5,3.3,0.468,0.4,0.9,0.389,0.631,0.2,0.3,0.667,0.1,1.5,1.5,0.2,0.3,0.1,0.4,0.4,5.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21.0,36.0,36.0,35.2,8.2,20.0,0.411,411.0,3.5,9.277,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.330999999999994,1.3,0.3,3.6,3.3,23.3,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24.0,43.0,6.0,16.9,2.6,5.3,0.485,485.0,1.0,2.7,0.385,1.5,2.6,0.591,0.584,0.9,1.4,0.661,1.1,3.7,4.8,1.0,0.3,1.0,0.6,2.3,7.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24.0,40.0,6.0,17.0,2.7,5.4,0.495,495.0,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24.0,3.0,0.0,14.7,1.3,4.3,0.308,308.0,0.7,3.0,0.222,0.7,1.3,0.5,0.385,1.3,2.7,0.5,0.7,6.7,7.3,0.7,0.0,1.0,1.0,3.7,4.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
